algorithm,size,run_id,runtime_sec,peak_mem_kb
Greedy,128,13,0.0006415843963623047,2.9453125
PTAS,128,14,0.0013668537139892578,5.6484375
Greedy,128,14,0.0007903575897216797,2.9453125
PTAS,128,15,0.0014760494232177734,5.34375
Greedy,128,15,0.0006096363067626953,2.9453125
PTAS,512,1,0.006422758102416992,22.7734375
Greedy,512,1,0.003383159637451172,21.84375
PTAS,512,2,3.027174711227417,73.4267578125
Greedy,512,2,0.0037496089935302734,21.890625
PTAS,512,3,0.006598234176635742,23.6484375
Greedy,512,3,0.003792285919189453,21.90625
PTAS,512,4,0.023320913314819336,22.5859375
Greedy,512,4,0.0034575462341308594,21.890625
PTAS,512,5,0.039722442626953125,23.4296875
Greedy,512,5,0.003440380096435547,21.875
PTAS,512,6,0.02342510223388672,23.7578125
Greedy,512,6,0.003458738327026367,21.875
PTAS,512,7,0.04479813575744629,22.1328125
Greedy,512,7,0.003159046173095703,21.84375
PTAS,512,8,0.13057637214660645,22.2265625
Greedy,512,8,0.0035698413848876953,21.890625
PTAS,512,9,0.023885726928710938,22.5859375
Greedy,512,9,0.00344085693359375,21.90625
PTAS,512,10,0.005814313888549805,23.7109375
Greedy,512,10,0.0031833648681640625,21.921875
PTAS,512,11,0.008104801177978516,22.8203125
Greedy,512,11,0.003204345703125,21.921875
PTAS,512,12,0.0062901973724365234,23.9921875
Greedy,512,12,0.003578662872314453,21.8125
PTAS,512,13,0.006134986877441406,23.7421875
Greedy,512,13,0.003149271011352539,21.9453125
PTAS,512,14,0.011299371719360352,23.6484375
Greedy,512,14,0.003606557846069336,21.90625
PTAS,512,15,0.008214950561523438,24.1328125
Greedy,512,15,0.003556966781616211,21.921875
PTAS,800,1,0.5296077728271484,61.6396484375
Greedy,800,1,0.0058019161224365234,35.34375
PTAS,800,2,0.5594711303710938,61.4970703125
Greedy,800,2,0.005664825439453125,35.375
PTAS,800,3,2.1514217853546143,65.3251953125
Greedy,800,3,0.005881309509277344,35.40625
PTAS,800,4,0.16444993019104004,37.6640625
Greedy,800,4,0.005482912063598633,35.40625
PTAS,800,5,1.142563819885254,61.3330078125
Greedy,800,5,0.005011320114135742,35.421875
PTAS,800,6,2.526613235473633,64.67578125
Greedy,800,6,0.00870203971862793,35.40625
PTAS,800,7,0.021369218826293945,37.3046875
Greedy,800,7,0.010630130767822266,35.390625
PTAS,800,8,0.25531578063964844,37.9765625
Greedy,800,8,0.009520530700683594,35.40625
PTAS,800,9,0.04963254928588867,37.5234375
Greedy,800,9,0.010061025619506836,35.359375
PTAS,800,10,1.8482275009155273,64.8837890625
Greedy,800,10,0.0055561065673828125,35.375
PTAS,800,11,18.336066007614136,83.728515625
Greedy,800,11,0.005673408508300781,35.421875
PTAS,800,12,0.08060503005981445,37.7109375
Greedy,800,12,0.0056514739990234375,35.421875
PTAS,800,13,9.921278715133667,68.5537109375
Greedy,800,13,0.005621671676635742,35.40625
PTAS,800,14,0.046779632568359375,37.8828125
Greedy,800,14,0.0065457820892333984,35.328125
PTAS,800,15,0.027189016342163086,37.1953125
Greedy,800,15,0.005503177642822266,35.375
